a,b,Audio,Battery,Battery_Value,Built-in Apps,Camera,Color,Dimensions (W x D x H),Disclaimer,Display,Ecolabels & Compliances,Expansion Slots (includes used),I/O Ports,Included in the Box,Keyboard & Touchpad,Memory,Microsoft Office,Military Grade,MyASUS Features,Network and Communication,OLED,Operating System,Power Supply,Security,Storage,Weight,Neural Processor,ASUS Exclusive technology,Additional Display,AURA SYNC,Keyboard and Touchpad,Note,Xbox Game Pass,Graphics,Model,G3d_mark,G2d_mark,Tdp,Category,Processor,Model.1,Cores,Cpu_mark,Thread_mark,Tdp_1,Socket,Price,Weight_value,RefreshRate,Unnamed: 52,position.page,position.position,position.global_position,asin,price.discounted,price.current_price,price.currency,price.before_price,price.savings_amount,price.savings_percent,reviews_total_reviews,reviews_rating,url,score,sponsored,amazonChoice,bestSeller,amazonPrime,title,thumbnail,ASIN,Title,URL,Item Available,Price.1,Main Image,Total Images,Images,Delivery Message,Product Information,Badges
ASUS Vivobook 16X (K3605),K3605VC,"SonicMaster
Built-in speaker
Built-in array microphone
with Cortana support","50WHrs, 3S1P, 3-cell Li-ion",50,"MyASUS
ProArt Creator Hub
ScreenXpert
GlideX","720p HD camera
With privacy shutter","Indie Black
Cool Silver","35.86 x 24.91 x 1.89 ~ 1.89 cm (14.12"" x 9.81"" x 0.74"" ~ 0.74"")","This product has only been tested for compatibility with the Windows 11 operating system, and may encounter compatibility issues if Windows 10 or older OS versions are installed.","40.64cm (16), WUXGA (1920 x 1200) 16:10 aspect ratio, LED Backlit, 120Hz refresh rate, 300nits, sRGB: 100%, Anti-glare display","EPEAT Silver
Energy star 8.0
RoHS
REACH",1x DDR4 SO-DIMM slot,"1x USB 3.2 Gen 1 Type-C support power delivery
2x USB 3.2 Gen 1 Type-A
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x DC-in
SD 4.0 card reader",* Included accessories vary according to country and territory. Please check with your local ASUS retailer for details.,"Backlit Chiclet Keyboard with Num-key, 1.4mm Key-travel, Touchpad",Up to 16GB DDR4,Microsoft Office Home & Student 2021,US MIL-STD 810H military-grade standard,"System diagnosis
Battery health charging
Fan Profile
Splendid
Tru2Life
Function key lock
WiFi SmartConnect
Link to MyASUS
TaskFirst
Live update
ASUS OLED Care
AI Noise Canceling",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),No information,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"ø4.5, 120W AC Adapter, Output: 20V DC, 6A, 120W, Input: 100~240V AC 50/60Hz universal","BIOS Booting User Password Protection
Trusted Platform Module (Firmware TPM)
Fingerprint sensor integrated with Touchpad","1TB M.2 NVMe™ PCIe® 3.0 SSD
512GB M.2 NVMe™ PCIe® 4.0 SSD",1.80 kg (3.97 lbs),No information,ASUS Antimicrobial Guard,No information,No information,No information,No information,No information,"NVIDIA® Geforce RTX™ 3050 4GB Laptop GPU
4GB GDDR6
Intel® UHD Graphics",GeForce RTX 3050 4GB Laptop GPU,6884.0,408,80,Mobile,"Intel Core i9-13900H Processor 2.6 GHz (24MB Cache, up to 5.4 GHz, 14 cores, 20 Threads)",Intel Core i9-13900H,14,29079.0,3856.0,45,FCBGA1744,54990.0,1.8,120Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
ASUS Vivobook 16X (K3605),K3605VC,"SonicMaster
Built-in speaker
Built-in array microphone
with Cortana support","50WHrs, 3S1P, 3-cell Li-ion",50,"MyASUS
ProArt Creator Hub
ScreenXpert
GlideX","720p HD camera
With privacy shutter","Indie Black
Cool Silver","35.86 x 24.91 x 1.89 ~ 1.89 cm (14.12"" x 9.81"" x 0.74"" ~ 0.74"")","This product has only been tested for compatibility with the Windows 11 operating system, and may encounter compatibility issues if Windows 10 or older OS versions are installed.","40.64cm (16), WUXGA (1920 x 1200) 16:10 aspect ratio, LED Backlit, 120Hz refresh rate, 300nits, sRGB: 100%, Anti-glare display","EPEAT Silver
Energy star 8.0
RoHS
REACH",1x DDR4 SO-DIMM slot,"1x USB 3.2 Gen 1 Type-C support power delivery
2x USB 3.2 Gen 1 Type-A
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x DC-in
SD 4.0 card reader",* Included accessories vary according to country and territory. Please check with your local ASUS retailer for details.,"Backlit Chiclet Keyboard with Num-key, 1.4mm Key-travel, Touchpad",Up to 16GB DDR4,Microsoft Office Home & Student 2021,US MIL-STD 810H military-grade standard,"System diagnosis
Battery health charging
Fan Profile
Splendid
Tru2Life
Function key lock
WiFi SmartConnect
Link to MyASUS
TaskFirst
Live update
ASUS OLED Care
AI Noise Canceling",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),No information,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"ø4.5, 120W AC Adapter, Output: 20V DC, 6A, 120W, Input: 100~240V AC 50/60Hz universal","BIOS Booting User Password Protection
Trusted Platform Module (Firmware TPM)
Fingerprint sensor integrated with Touchpad","1TB M.2 NVMe™ PCIe® 3.0 SSD
512GB M.2 NVMe™ PCIe® 4.0 SSD",1.80 kg (3.97 lbs),No information,ASUS Antimicrobial Guard,No information,No information,No information,No information,No information,"NVIDIA® Geforce RTX™ 3050 4GB Laptop GPU
4GB GDDR6
Intel® UHD Graphics",GeForce RTX 3050 4GB Laptop GPU,6884.0,408,80,Mobile,"Intel Core i5-13500H Processor 2.6 GHz (18MB Cache, up to 4.7 GHz, 12 cores, 16 Threads)",Intel Core i5-13500H,12,22923.0,3569.0,45,Unknown,54990.0,1.8,120Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
ASUS Vivobook 16X (K3605),K3605ZV,"SonicMaster
Built-in speaker
Built-in array microphone
with Cortana support","70WHrs, 3S1P, 3-cell Li-ion",70,"MyASUS
ProArt Creator Hub
ScreenXpert
GlideX","720p HD camera
With privacy shutter","Indie Black
Cool Silver","35.86 x 24.91 x 1.89 ~ 1.89 cm (14.12"" x 9.81"" x 0.74"" ~ 0.74"")","This product has only been tested for compatibility with the Windows 11 operating system, and may encounter compatibility issues if Windows 10 or older OS versions are installed.","40.64cm (16), WUXGA (1920 x 1200) 16:10 aspect ratio, LED Backlit, 120Hz refresh rate, 300nits, sRGB: 100%, Anti-glare display, - (Screen-to-body ratio)85%
40.64cm (16), WUXGA (1920 x 1200) 16:10 aspect ratio, LED Backlit, 60Hz refresh rate, 300nits, Anti-glare display, - (Screen-to-body ratio)85%","EPEAT Silver
Energy star 8.0
RoHS
REACH",1x DDR4 SO-DIMM slot,"2x USB 3.2 Gen 1 Type-A
1x Thunderbolt™ 4 supports display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x DC-in
SD 4.0 card reader",* Included accessories vary according to country and territory. Please check with your local ASUS retailer for details.,"Backlit Chiclet Keyboard with Num-key, 1.4mm Key-travel, Touchpad",16GB DDR4 on board,Microsoft Office Home & Student 2021,US MIL-STD 810H military-grade standard,"System diagnosis
Battery health charging
Fan Profile
Splendid
Tru2Life
Function key lock
WiFi SmartConnect
Link to MyASUS
TaskFirst
Live update
ASUS OLED Care
AI Noise Canceling",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),No information,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"ø4.5, 120W AC Adapter, Output: 20V DC, 6A, 120W, Input: 100~240V AC 50/60Hz universal","BIOS Booting User Password Protection
Trusted Platform Module (Firmware TPM)
Fingerprint sensor integrated with Touchpad",512GB M.2 NVMe™ PCIe® 4.0 SSD,1.80 kg (3.97 lbs),No information,ASUS Antimicrobial Guard,No information,No information,No information,No information,No information,"NVIDIA® GeForce RTX™ 4060 Laptop GPU
NVIDIA® GeForce® RTX™ 3070 Ti Laptop GPU, 8GB GDDR6
Intel® UHD Graphics
*Intel Iris Xᵉ Graphics is only available in models with Intel® Core™ i5/i7/i9 processors and dual-channel memory.",GeForce RTX 4060 Laptop GPU,17703.0,735,115,Mobile,"IntelCore i7-12650H Processor 2.3 GHz (24M Cache, up to 4.7 GHz, 10 cores)",Intel Core i7-12650H,10,22774.0,3601.0,45,FCBGA1744,54990.0,1.8,120Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
ASUS Vivobook 16X (K3605),K3605ZU,"SonicMaster
Built-in speaker
Built-in array microphone
with Cortana support","70WHrs, 3S1P, 3-cell Li-ion",70,"MyASUS
ProArt Creator Hub
ScreenXpert
GlideX","720p HD camera
With privacy shutter","Indie Black
Cool Silver","35.86 x 24.91 x 1.89 ~ 1.89 cm (14.12"" x 9.81"" x 0.74"" ~ 0.74"")","This product has only been tested for compatibility with the Windows 11 operating system, and may encounter compatibility issues if Windows 10 or older OS versions are installed.","40.64cm (16), WUXGA (1920 x 1200) 16:10 aspect ratio, LED Backlit, 120Hz refresh rate, 300nits, sRGB: 100%, Anti-glare display, - (Screen-to-body ratio)85%
40.64cm (16), WUXGA (1920 x 1200) 16:10 aspect ratio, LED Backlit, 60Hz refresh rate, 300nits, Anti-glare display, - (Screen-to-body ratio)85%","EPEAT Silver
Energy star 8.0
RoHS
REACH",1x DDR4 SO-DIMM slot,"2x USB 3.2 Gen 1 Type-A
1x Thunderbolt™ 4 supports display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x DC-in
SD 4.0 card reader",* Included accessories vary according to country and territory. Please check with your local ASUS retailer for details.,"Backlit Chiclet Keyboard with Num-key, 1.4mm Key-travel, Touchpad",16GB DDR4 on board,Microsoft Office Home & Student 2021,US MIL-STD 810H military-grade standard,"System diagnosis
Battery health charging
Fan Profile
Splendid
Tru2Life
Function key lock
WiFi SmartConnect
Link to MyASUS
TaskFirst
Live update
ASUS OLED Care
AI Noise Canceling",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),No information,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"ø4.5, 120W AC Adapter, Output: 20V DC, 6A, 120W, Input: 100~240V AC 50/60Hz universal","BIOS Booting User Password Protection
Trusted Platform Module (Firmware TPM)
Fingerprint sensor integrated with Touchpad",512GB M.2 NVMe™ PCIe® 4.0 SSD,1.80 kg (3.97 lbs),No information,ASUS Antimicrobial Guard,No information,No information,No information,No information,No information,"NVIDIA® GeForce RTX™ 4050 Laptop GPU
6GB GDDR6
Intel® UHD Graphics
*Intel Iris Xᵉ Graphics is only available in models with Intel® Core™ i5/i7/i9 processors and dual-channel memory.",GeForce RTX 4050 Laptop GPU,14471.0,627,115,Mobile,"IntelCore i5-12450H Processor 2.0 GHz (12M Cache, up to 4.4 GHz, 8 cores)",Intel Core i5-12450H,8,17127.0,3394.0,45,FCBGA1744,54990.0,1.8,120Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
ASUS Vivobook 16X (K3605),K3605ZU,"SonicMaster
Built-in speaker
Built-in array microphone
with Cortana support","70WHrs, 3S1P, 3-cell Li-ion",70,"MyASUS
ProArt Creator Hub
ScreenXpert
GlideX","720p HD camera
With privacy shutter","Indie Black
Cool Silver","35.86 x 24.91 x 1.89 ~ 1.89 cm (14.12"" x 9.81"" x 0.74"" ~ 0.74"")","This product has only been tested for compatibility with the Windows 11 operating system, and may encounter compatibility issues if Windows 10 or older OS versions are installed.","40.64cm (16), WUXGA (1920 x 1200) 16:10 aspect ratio, LED Backlit, 120Hz refresh rate, 300nits, sRGB: 100%, Anti-glare display, - (Screen-to-body ratio)85%
40.64cm (16), WUXGA (1920 x 1200) 16:10 aspect ratio, LED Backlit, 60Hz refresh rate, 300nits, Anti-glare display, - (Screen-to-body ratio)85%","EPEAT Silver
Energy star 8.0
RoHS
REACH",1x DDR4 SO-DIMM slot,"2x USB 3.2 Gen 1 Type-A
1x Thunderbolt™ 4 supports display / power delivery
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x DC-in
SD 4.0 card reader",* Included accessories vary according to country and territory. Please check with your local ASUS retailer for details.,"Backlit Chiclet Keyboard with Num-key, 1.4mm Key-travel, Touchpad",16GB DDR4 on board,Microsoft Office Home & Student 2021,US MIL-STD 810H military-grade standard,"System diagnosis
Battery health charging
Fan Profile
Splendid
Tru2Life
Function key lock
WiFi SmartConnect
Link to MyASUS
TaskFirst
Live update
ASUS OLED Care
AI Noise Canceling",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),No information,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"ø4.5, 120W AC Adapter, Output: 20V DC, 6A, 120W, Input: 100~240V AC 50/60Hz universal","BIOS Booting User Password Protection
Trusted Platform Module (Firmware TPM)
Fingerprint sensor integrated with Touchpad",512GB M.2 NVMe™ PCIe® 4.0 SSD,1.80 kg (3.97 lbs),No information,ASUS Antimicrobial Guard,No information,No information,No information,No information,No information,"NVIDIA® GeForce RTX™ 4050 Laptop GPU
6GB GDDR6
Intel® UHD Graphics
*Intel Iris Xᵉ Graphics is only available in models with Intel® Core™ i5/i7/i9 processors and dual-channel memory.",GeForce RTX 4050 Laptop GPU,14471.0,627,115,Mobile,"IntelCore i7-12650H Processor 2.3 GHz (24M Cache, up to 4.7 GHz, 10 cores)",Intel Core i7-12650H,10,22774.0,3601.0,45,FCBGA1744,54990.0,1.8,120Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
ASUS Vivobook 16X (K3605),K3605ZC,"SonicMaster
Built-in speaker
Built-in array microphone
with Cortana support","50WHrs, 3S1P, 3-cell Li-ion",50,"MyASUS
ProArt Creator Hub
ScreenXpert
GlideX","720p HD camera
With privacy shutter","Indie Black
Cool Silver","35.86 x 24.91 x 1.89 ~ 1.89 cm (14.12"" x 9.81"" x 0.74"" ~ 0.74"")","This product has only been tested for compatibility with the Windows 11 operating system, and may encounter compatibility issues if Windows 10 or older OS versions are installed.","40.64cm (16), WUXGA (1920 x 1200) 16:10 aspect ratio, LED Backlit, 120Hz refresh rate, 300nits, sRGB: 100%, Anti-glare display
40.64cm (16), WUXGA (1920 x 1200) 16:10 aspect ratio, LED Backlit, 60Hz refresh rate, 300nits, Anti-glare display","EPEAT Silver
Energy star 8.0
RoHS
REACH",1x DDR4 SO-DIMM slot,"1x USB 3.2 Gen 1 Type-C support power delivery
2x USB 3.2 Gen 1 Type-A
1x HDMI 2.1 TMDS
1x 3.5mm Combo Audio Jack
1x DC-in
SD 4.0 card reader",* Included accessories vary according to country and territory. Please check with your local ASUS retailer for details.,"Backlit Chiclet Keyboard with Num-key, 1.4mm Key-travel, Touchpad",Up to 16GB DDR4,Microsoft Office Home & Student 2021,US MIL-STD 810H military-grade standard,"System diagnosis
Battery health charging
Fan Profile
Splendid
Tru2Life
Function key lock
WiFi SmartConnect
Link to MyASUS
TaskFirst
Live update
ASUS OLED Care
AI Noise Canceling",Wi-Fi 6E(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),No information,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"ø4.5, 120W AC Adapter, Output: 20V DC, 6A, 120W, Input: 100~240V AC 50/60Hz universal","BIOS Booting User Password Protection
Trusted Platform Module (Firmware TPM)
Fingerprint sensor integrated with Touchpad","512GB M.2 NVMe™ PCIe® 3.0 SSD
512GB M.2 NVMe™ PCIe® 4.0 SSD",1.80 kg (3.97 lbs),No information,ASUS Antimicrobial Guard,No information,No information,No information,No information,No information,"NVIDIA® Geforce RTX™ 3050 4GB Laptop GPU
4GB GDDR6
Intel® UHD Graphics",GeForce RTX 3050 4GB Laptop GPU,6884.0,408,80,Mobile,"IntelCore i5-12450H Processor 2.0 GHz (12M Cache, up to 4.4 GHz, 8 cores)",Intel Core i5-12450H,8,17127.0,3394.0,45,FCBGA1744,54990.0,1.8,120Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
ASUS Vivobook 16 (X1605),X1605VA,"SonicMaster
Built-in speaker
Built-in array microphone
with Cortana voice-recognition support","42WHrs, 3S1P, 3-cell Li-ion",42,"MyASUS
ScreenXpert
GlideX","720p HD camera
With privacy shutter",Indie Black,"35.87 x 24.95 x 1.99 ~ 1.99 cm (14.12"" x 9.82"" x 0.78"" ~ 0.78"")","This product has only been tested for compatibility with the Windows 11 operating system, and may encounter compatibility issues if Windows 10 or older OS versions are installed.","40.64cm (16), WUXGA (1920 x 1200) 16:10 aspect ratio, 60Hz refresh rate, 300nits, Anti-glare display","EPEAT Silver
Energy star 8.0
RoHS
REACH","1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 3.0x4","1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C support power delivery
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in",* Included accessories vary according to country and territory. Please check with your local ASUS retailer for details.,"Backlit Chiclet Keyboard with Num-key, 1.4mm Key-travel, Precision touchpad",Up to 16GB DDR4,Microsoft Office Home & Student 2021,US MIL-STD 810H military-grade standard,"System diagnosis
Battery health charging
Fan Profile
Splendid
Tru2Life
Function key lock
WiFi SmartConnect
Link to MyASUS
TaskFirst
Live update
AI Noise Canceling",Wi-Fi 6E(802.11ax) (Dual band) 1*1 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),No information,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"ø4.5, 65W AC Adapter, Output: 19V DC, 3.42A, 65W, Input: 100~240V AC 50/60Hz universal","BIOS Booting User Password Protection
Trusted Platform Module (Firmware TPM)
Fingerprint sensor integrated with Touchpad",512GB M.2 NVMe™ PCIe® 3.0 SSD,1.88 kg (4.14 lbs),No information,ASUS Antimicrobial Guard Plus,No information,No information,No information,No information,No information,"Intel Iris Xe Graphics
*Intel Iris Xᵉ Graphics is only available in models with Intel® Core™ i5/i7/i9 processors and dual-channel memory.",Intel Iris Xe,2683.0,358,No information,Unknown,"Intel Core i5-13500H Processor 2.6 GHz (18MB Cache, up to 4.7 GHz, 12 cores, 16 Threads)",Intel Core i5-13500H,12,22923.0,3569.0,45,Unknown,39990.0,1.88,60Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
ASUS Vivobook 16 (X1605),X1605VAB,"SonicMaster
Built-in speaker
Built-in array microphone
with Cortana voice-recognition support","42WHrs, 3S1P, 3-cell Li-ion",42,"MyASUS
ScreenXpert
GlideX","720p HD camera
With privacy shutter",Cool Silver,"35.87 x 24.95 x 1.99 ~ 1.99 cm (14.12"" x 9.82"" x 0.78"" ~ 0.78"")","This product has only been tested for compatibility with the Windows 11 operating system, and may encounter compatibility issues if Windows 10 or older OS versions are installed.","40.64cm (16), WUXGA (1920 x 1200) 16:10 aspect ratio, 60Hz refresh rate, 300nits, Anti-glare display","EPEAT Silver
Energy star 8.0
RoHS
REACH","1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 3.0x4","1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C support power delivery
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in",* Included accessories vary according to country and territory. Please check with your local ASUS retailer for details.,"Backlit Chiclet Keyboard with Num-key, 1.4mm Key-travel, Touchpad",Up to 16GB DDR4,Microsoft Office Home & Student 2021,US MIL-STD 810H military-grade standard,"System diagnosis
Battery health charging
Fan Profile
Splendid
Tru2Life
Function key lock
WiFi SmartConnect
Link to MyASUS
TaskFirst
Live update
AI Noise Canceling",Wi-Fi 6E(802.11ax) (Dual band) 1*1 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),No information,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"ø4.5, 45W AC Adapter, Output: 19V DC, 2.37A, 45W, Input: 100~240V AC 50/60Hz universal
45W AC Adapter (included with RPL U series Processor)","BIOS Booting User Password Protection
Trusted Platform Module (Firmware TPM)",512GB M.2 NVMe™ PCIe® 4.0 SSD,1.88 kg (4.14 lbs),No information,ASUS Antimicrobial Guard Plus,No information,No information,No information,No information,No information,"Intel® UHD Graphics
*Intel Iris Xᵉ Graphics is only available in models with Intel® Core™ i5/i7/i9 processors and dual-channel memory.
Intel Iris Xe Graphics
*Intel Iris Xᵉ Graphics is only available in models with Intel® Core™ i5/i7/i9 processors and dual-channel memory.",Intel UHD Graphics 710,1078.0,307,No information,Unknown,"Intel Core i3-1315U Processor 1.2 GHz (10MB Cache, up to 4.5 GHz, 6 cores, 8 Threads)",Intel Core i3-1315U,6,12454.0,3559.0,15,FCBGA1744,39990.0,1.88,60Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
ASUS Vivobook 16 (X1605),X1605VAB,"SonicMaster
Built-in speaker
Built-in array microphone
with Cortana voice-recognition support","42WHrs, 3S1P, 3-cell Li-ion",42,"MyASUS
ScreenXpert
GlideX","720p HD camera
With privacy shutter",Cool Silver,"35.87 x 24.95 x 1.99 ~ 1.99 cm (14.12"" x 9.82"" x 0.78"" ~ 0.78"")","This product has only been tested for compatibility with the Windows 11 operating system, and may encounter compatibility issues if Windows 10 or older OS versions are installed.","40.64cm (16), WUXGA (1920 x 1200) 16:10 aspect ratio, 60Hz refresh rate, 300nits, Anti-glare display","EPEAT Silver
Energy star 8.0
RoHS
REACH","1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 3.0x4","1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C support power delivery
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in",* Included accessories vary according to country and territory. Please check with your local ASUS retailer for details.,"Backlit Chiclet Keyboard with Num-key, 1.4mm Key-travel, Touchpad",Up to 16GB DDR4,Microsoft Office Home & Student 2021,US MIL-STD 810H military-grade standard,"System diagnosis
Battery health charging
Fan Profile
Splendid
Tru2Life
Function key lock
WiFi SmartConnect
Link to MyASUS
TaskFirst
Live update
AI Noise Canceling",Wi-Fi 6E(802.11ax) (Dual band) 1*1 + Bluetooth® 5.3 Wireless Card (*Bluetooth® version may change with OS version different.),No information,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"ø4.5, 45W AC Adapter, Output: 19V DC, 2.37A, 45W, Input: 100~240V AC 50/60Hz universal
45W AC Adapter (included with RPL U series Processor)","BIOS Booting User Password Protection
Trusted Platform Module (Firmware TPM)",512GB M.2 NVMe™ PCIe® 4.0 SSD,1.88 kg (4.14 lbs),No information,ASUS Antimicrobial Guard Plus,No information,No information,No information,No information,No information,"Intel® UHD Graphics
*Intel Iris Xᵉ Graphics is only available in models with Intel® Core™ i5/i7/i9 processors and dual-channel memory.
Intel Iris Xe Graphics
*Intel Iris Xᵉ Graphics is only available in models with Intel® Core™ i5/i7/i9 processors and dual-channel memory.",Intel UHD Graphics 710,1078.0,307,No information,Unknown,"Intel Core i5-1335U Processor 1.3 GHz (12MB Cache, up to 4.6 GHz, 10 cores, 12 Threads)",Intel Core i5-1335U,10,15994.0,3523.0,15,FCBGA1744,39990.0,1.88,60Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
ASUS Vivobook 16 (X1605),X1605ZAB,"SonicMaster
Built-in speaker
Built-in microphone
with Cortana voice-recognition support","42WHrs, 3S1P, 3-cell Li-ion",42,"MyASUS
ScreenXpert
GlideX","720p HD camera
With privacy shutter",Indie Black,"35.87 x 24.95 x 1.99 ~ 1.99 cm (14.12"" x 9.82"" x 0.78"" ~ 0.78"")","This product has only been tested for compatibility with the Windows 11 operating system, and may encounter compatibility issues if Windows 10 or older OS versions are installed.","40.64cm (16), WUXGA (1920 x 1200) 16:10 aspect ratio, 60Hz refresh rate, 300nits, Anti-glare display","Energy star 8.0
RoHS
REACH","1x DDR4 SO-DIMM slot
1x M.2 2280 PCIe 3.0x4","1x USB 2.0 Type-A
1x USB 3.2 Gen 1 Type-C
2x USB 3.2 Gen 1 Type-A
1x HDMI 1.4
1x 3.5mm Combo Audio Jack
1x DC-in",* Included accessories vary according to country and territory. Please check with your local ASUS retailer for details.,"Chiclet Keyboard with Num-key, 1.35mm Key-travel, Precision touchpad",Up to 16GB DDR4,Office Home and Student 2021 included,US MIL-STD 810H military-grade standard,"System diagnosis
Battery health charging
Fan Profile
Splendid
Tru2Life
Function key lock
WiFi SmartConnect
Link to MyASUS
TaskFirst
Live update
AI Noise Canceling",Wi-Fi 6(802.11ax) (Dual band) 2*2 + Bluetooth® 5.3 Wireless Card,No information,Windows 11 Home - ASUS recommends Windows 11 Pro for business,"ø4.5, 45W AC Adapter, Output: 19V DC, 2.37A, 45W, Input: 100~240V AC 50/60Hz universal","BIOS Booting User Password Protection
Trusted Platform Module (Firmware TPM)
Fingerprint sensor integrated with Touchpad",512GB M.2 NVMe™ PCIe® 4.0 SSD,1.88 kg (4.14 lbs),No information,ASUS Antimicrobial Guard,No information,No information,No information,No information,No information,"Intel® UHD Graphics
*Intel Iris Xᵉ Graphics is only available in models with Intel® Core™ i5/i7/i9 processors and dual-channel memory.",Intel UHD Graphics 710,1078.0,307,No information,Unknown,"IntelCore i3-1215U Processor 1.2 GHz (10M Cache, up to 4.4 GHz, 6 cores)",Intel Core i3-1215U,6,10981.0,3328.0,15,FCBGA1744,39990.0,1.88,60Hz,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information,No information
